"","rhat","ess_bulk","ess_tail","median","mean","sd","CRI_lower","CRI_upper","RSE"
"R[1,2]",1.00011824258175,7713,14742,0.714,0.708,0.064,0.594,0.803,9.1
"R[1,3]",1.00010120525941,11614,17810,0.803,0.796,0.064,0.679,0.886,8
"R[1,4]",1.00024498184005,10495,17506,0.809,0.803,0.054,0.706,0.881,6.7
"R[1,5]",1.00011729564879,10549,18075,0.78,0.773,0.06,0.664,0.86,7.8
"R[1,6]",1.00015392500913,8274,14872,0.826,0.82,0.049,0.732,0.89,6
"R[2,3]",1.00003406952812,10833,16936,0.799,0.791,0.067,0.67,0.885,8.5
"R[2,4]",1.00036342936677,14240,19997,0.82,0.815,0.052,0.721,0.889,6.4
"R[2,5]",1.00030438628715,13625,19316,0.787,0.782,0.058,0.678,0.867,7.5
"R[2,6]",1.00033565387813,14213,19714,0.895,0.891,0.033,0.831,0.938,3.7
"R[3,4]",1.00026993799979,6613,9867,0.909,0.901,0.049,0.809,0.967,5.5
"R[3,5]",1.00013435546492,6369,9909,0.871,0.862,0.062,0.75,0.946,7.1
"R[3,6]",1.00050937447158,8346,14141,0.845,0.836,0.062,0.722,0.921,7.4
"R[4,5]",1.00019554604066,14854,20833,0.946,0.942,0.027,0.892,0.976,2.8
"R[4,6]",1.00030825213882,12321,20333,0.831,0.825,0.052,0.731,0.899,6.3
"R[5,6]",1.00042786321802,12049,18836,0.861,0.856,0.048,0.769,0.925,5.6
