"","rhat","ess_bulk","ess_tail","median","mean","sd","CRI_lower","CRI_upper","shrinkage","RSE"
"omega_S0_6MWD",1.00013541900885,10054,17234,0.149,0.15,0.015,0.125,0.176,0.194,10.3
"omega_DP_BFLH",0.999961393362727,17678,22826,0.193,0.194,0.027,0.153,0.241,0.41,13.8
"omega_S0_BFLH",1.00034749836585,12214,18950,0.087,0.088,0.01,0.073,0.105,0.309,11.3
"omega_S0_GRA",1.00045333032662,11366,19826,0.087,0.087,0.009,0.073,0.103,0.223,10.7
"omega_DP_MG",1.00068759666405,6562,6170,0.167,0.167,0.056,0.074,0.259,0.652,33.6
"omega_gamma_MG",1.00053650091651,6475,11944,0.578,0.582,0.107,0.413,0.763,0.425,18.4
"omega_S0_MG",1.00061171670645,5396,7064,0.076,0.076,0.011,0.057,0.094,0.306,14.8
"omega_DP_SOL",1.00011193931788,7968,8903,0.164,0.166,0.05,0.085,0.25,0.602,30.3
"omega_gamma_SOL",1.00026948420616,7824,10194,0.494,0.496,0.077,0.374,0.628,0.32,15.6
"omega_S0_SOL",1.00053057598994,2533,5450,0.044,0.044,0.017,0.016,0.071,0.5,38.3
"omega_DP_VL",1.00027711549654,5492,7629,0.099,0.097,0.04,0.023,0.161,0.629,41.8
"omega_gamma_VL",1.00072618862623,7051,14235,0.416,0.418,0.072,0.303,0.541,0.405,17.3
"omega_S0_VL",1.00133063740904,4075,6410,0.074,0.073,0.015,0.046,0.097,0.368,20.9
